标记,id,角色ID,角色,位置,台词,下一句,背景,音效,自身动作,目标位置,目标动作,屏幕效果,bgmName
#,0,,【我】,中,这地形比刚才那个还离谱……,1,1,,,,,,BGM
#,1,0,【派派】,左,哈，到本小姐的主场了！那些是显形方块，没有我的框，你过都过不去。,2,1,L_Attack,入场,,,,
#,2,3,【希】,右,通向未来的回路……隐藏在表面之下……像未展开的宏……像模板里的typedef……,3,1,,入场,,,,
#,3,,【我】,中,听不懂。,4,1,,,,,,
#,4,1,【嘉斯林】,右,她的意思是，这关需要派派的隐形框。那些显形方块得先“隐形”才能通过，不然你的车会“砰”一下撞上去。,5,1,,入场,,,,
#,5,0,【派派】,左,对，然后掉下去摔成八瓣。,6,1,,跳动,,,,
#,6,2,【ADN-1】,右,【紧张的滴滴声】,7,1,,入场,,,,
#,7,,【我】,中,……你能别吓唬我的车吗。,8,1,,,,,,
#,8,0,【派派】,左,谁吓唬了，本小姐这是在强调重要性！,9,1,,抖动,,,,
#,9,3,【希】,右,派派今天……格外强调自己的存在价值……是在高兴吧……,10,1,,,,,,
#,10,0,【派派】,左,谁、谁高兴了！我只是陈述事实！事实懂吗！,11,1,,跳动,,,,
#,11,1,【嘉斯林】,右,好啦好啦。你看看前面的路：派派的隐形框覆盖到那些显形方块上，它们就会消失，失去实体属性。你把框放对位置，铺出一条路，车就能过去。,12,1,,,,,,
#,12,,【我】,中,听起来比刚才那个复杂不少……,13,1,,,,,,
#,13,0,【派派】,左,当然复杂！你得想清楚先隐形哪块、后隐形哪块，顺序乱了路面就不连贯。就像写Python，缩进错了程序根本跑不起来。,14,1,H_Attack,撞击,,,,
#,14,,【我】,中,缩进……你还在记恨上次的事。,15,1,,,,,,
#,15,0,【派派】,左,记恨？本小姐差点被你气到解释器崩溃！四个空格和一个tab的战争可不是闹着玩的！,16,1,,抖动,,,,
#,16,1,【嘉斯林】,右,不过你也该谢谢派派。Python强迫症一样的缩进规则，其实是逼你养成好习惯。,17,1,,,,,,
#,17,2,【ADN-1】,右,【困惑的滴滴声】,18,1,,跳动,,,,
#,18,0,【派派】,左,行了行了，回归正题！小鬼，你先想想怎么铺这条路，本小姐倒要看看你有多少斤两。,19,1,,,,,,
#,19,0,【派派】,左,而且你得注意框的尺寸——我的框有2x2的，也有3x2的，你得选对尺寸才能同时盖住多块。,20,1,,,,,,
#,20,,【我】,中,也就是说我得提前算好布局……,21,1,,,,,,
#,21,0,【派派】,左,对！提前规划！不是等AI吐出来再改！人类的脑子是拿来用的不是拿来生锈的！,22,1,H_Attack,撞击,,,,
#,22,1,【嘉斯林】,右,虽然话不好听，但道理没错。,23,1,,,,,,
#,23,0,【派派】,左,隐形框只要碰到方块的边缘，它就会整块消失。所以你不用把框整整齐齐套上去，歪着放、斜着卡边，都行——这叫“活用”，不是“乱用”。,24,1,,,,,,
#,24,,【我】,中,这不就是你说的那种……格式不规范但居然能跑？,25,1,,,,,,
#,25,0,【派派】,左,完全不是一回事！这是机制允许范围内的灵活运用！可控的！优雅的！本小姐认可的！,26,1,,跳动,,,,
#,26,3,【希】,右,像const_cast……在某些特定场景下是合理的……虽然大多数人用它是为了偷懒……,27,1,,抖动,,,,
#,27,1,【嘉斯林】,右,好了举的例子越来越危险了，打住。,28,1,,,,,,
#,28,0,【派派】,左,没有本小姐你早掉下去八百回了。,29,1,,,,,,
#,29,,【我】,中,是是是，派派大人天下第一。,30,1,,,,,,
#,30,0,【派派】,左,你那个语气像是在敷衍我。,31,1,L_Attack,抖动,,,,
#,31,,【我】,中,我没有。真心的。Python的缩进真的很重要。,32,1,,,,,,
#,32,0,【派派】,左,……突然这么老实我反而不知道怎么接了。,33,1,,,,,,
#,33,1,【嘉斯林】,右,说明他开始进步了。会认错的人才能学会新东西。,34,1,,,,,,
#,34,3,【希】,右,承认错误……是避免segfault的第一步……能主动调用exit(0)而不是等着系统杀进程……,35,1,,,,,,
#,35,,【我】,中,我虽然听不懂但感觉你在夸我。,36,1,,,,,,
#,36,3,【希】,右,在夸你……大概。,end,1,,,,,,
