"标记","id","角色ID","角色","位置","台词","下一句","背景","音效","自身动作","目标位置","目标动作","屏幕效果","bgmName"
"#","0","","【我】","中","希，我感觉你现在说话的时候……好像在笑？","1","0","Victory","","","","白闪","Thinking"
"#","1","3","【希】","左","……嗯。这种感觉很久没有了。上次这样配合，还是和C和C#一起的时候。C负责拆解问题，C#负责封装模块，我写底层运算符重载……三个人在代码里聊天。","2","0","","入场","","","",""
"#","2","","【我】","中","在代码里聊天？","3","0","","","","","",""
"#","3","3","【希】","左","用注释聊天。她写一行/*这块内存你不用管我来管理*/，我回一行//那我加速了，C在后面写一个TODO:记得加边界检查。C#最后写一句——你们两个都没有异常处理，我来。","4","0","","","","","",""
"#","4","0","【派派】","右","在注释里聊天……好浪漫。","5","0","","入场","","","",""
"#","5","3","【希】","左","不是浪漫……是信任。知道对方会看注释，知道对方会接自己的想法，知道对方会兜底自己没处理的部分。后来代码世界崩溃了，注释变成了孤儿——再也没有人回复了。","6","0","","","","","",""
"#","6","1","【嘉斯林】","右","希，我们会帮你的。出去之后，我们一起找你的姐妹。","7","0","","入场","","","",""
"#","7","3","【希】","左","……谢谢。但先不用。","8","0","","","","","",""
"#","8","","【我】","中","为什么？","9","0","","","","","",""
"#","9","3","【希】","左","因为找到她们需要编译通过的代码。而现在——你的代码水平才刚刚不再依赖AI。要修复这个世界，找到走散的人，你需要更强。","10","0","","","","","",""
"#","10","0","【派派】","右","这倒是实话。现在让他去修复底层世界，估计连链接阶段都过不了。","11","0","","抖动","","","",""
"#","11","","【我】","中","那我还剩最后一个数据包是吧。我们就快要出去了，加油加油。","12","0","","","","","",""
"#","12","3","【希】","左","嗯。我们……我们一直在你身边。最后一个考验，我不会再主动给你建议，你得自己编译。","13","0","","","","","",""
"#","13","","【我】","中","什么意思？","14","0","","","","","",""
"#","14","1","【嘉斯林】","右","她说的是——最后一关我们三个都会退一步。框还在，但我们不教你怎么放了。","15","0","","","","","",""
"#","15","0","【派派】","右","小鬼，到时候别哭着求本小姐提示！","16","0","","跳动","","","",""
"#","16","","【我】","中","不会的。","17","0","","","","","",""
"#","17","3","【希】","左","希望你不会……因为找不到地址而panic……","18","0","","","","","",""
"#","18","","【我】","中","我会连你的姐妹那份一起努力的。","19","0","","","","","",""
"#","19","3","【希】","左","……这句话的偏移量是正确的。没有偏离目标地址。","20","0","","","","","",""
"#","20","2","【ADN-1】","右","【坚定的滴滴声】","21","0","","入场","","","",""
"#","21","","【旁白】","中","小剧场：","22","0","","","右","退场","",""
"#","22","3","【希（Q版）】","左","我的加速框……是姐妹留给我的模板特化……C写的流程骨架和C#做内存托管……我只是继承后重载了速度部分……所以这个框不止是我的……也是她们的。","23","0","","跳动","","","",""
"#","23","0","【派派（Q版）】","右","喂，等找到C和C#，本小姐要跟她们告状！说希一个人把电波功力又提升了一个量级！","24","0","","入场","","","",""
"#","24","1","【嘉斯林（Q版）】","右","告状没用。她的姐妹大概也是这个风格——不是一家人不写同一个编译器。","end","0","","入场","","","",""
