标记,id,角色ID,角色,位置,台词,下一句,背景,音效,自身动作,目标位置,目标动作,屏幕效果,bgmName
#,0,,【我】,中,这些球是什么东西……跟下雨一样往下掉！,1,2,,,,,,BGM
#,1,0,【派派】,右,哇啊——！,2,2,H_Attack,入场,,,白闪震动,
#,2,1,【嘉斯林】,左,数据流。正常来说数据流应该很稳定而且温和的，但是现在这个好像很……有攻击性，我们得小心点。,3,2,,入场,,,,
#,3,,【我】,中,这怎么办？,4,2,,,,,,
#,4,1,【嘉斯林】,左,大概是因为这片区域出现了异常，我们得快点拿到对面的数据包，把这片区域修复。,5,2,,,,,,
#,5,,【旁白】,中,一颗数据球在车旁边炸开，碎片溅到车身上。,6,2,,,右,受击,震动,
#,6,2,【ADN-1】,右,【惊恐的滴滴滴！】,7,2,,抖动,,,,
#,7,,【我】,中,ADN-1！没事吧？！,8,2,,,,,,
#,8,1,【嘉斯林】,左,别担心，反重力框已经在待命了。这关是我的主场。,9,2,H_Attack,撞击,,,,
#,9,,【我】,中,那我们该如何通过这里？,10,2,,,,,,
#,10,1,【嘉斯林】,左,如果从下面通过不行，那不如尝试从上面通过。我的反重力框能让小车到更高的地方，可以多放几个，小心为好。,11,2,,,,,,
#,11,1,【嘉斯林】,左,在面对不确定输入的时候，多层防护是最基础的稳定性策略。就像你写一个处理用户输入的函数，不可能只靠一个if语句就指望它健壮。,12,2,,,,,,
#,12,0,【派派】,右,嘉斯林姐，你说话的方式越来越像老师了。,13,2,,入场,,,,
#,13,1,【嘉斯林】,左,谢谢。我当这是夸奖。,end,2,,跳动,,,,
