标记,id,角色ID,角色,位置,台词,下一句,背景,音效,自身动作,目标位置,目标动作,屏幕效果,bgmName
#,0,,【我】,中,把文档拖进去，AI就能搞定吧……再复制粘贴一下，作业就完成了。,1,0,,,,,,BGM
#,1,,【我】,中,怎么黑屏了？我作业还没保存——啊啊啊！,2,0,,,,,黑闪震动,
#,2,,【我】,中,头……好晕……这些是什么？0和1？我怎么在往下掉——,3,0,H_Attack,,,,白闪震动,
#,3,,【我】,中,啊？我没死？……这，这是什么地方？屁股底下怎么还软乎乎的。,4,0,,,,,,
#,4,0,【？？？】,左,喂喂喂，快从我身上起来！你这小鬼是瞎了吗！没看到你底下有个人吗！,5,0,L_Attack,入场,,,,
#,5,,【我】,中,你才是小鬼吧喂。而且，莫名其妙，我作业写得好好的，怎么就突然到了这个地方，还压到一个奇怪的小孩？,6,0,,,,,,
#,6,,【我】,中,你是……等等，感觉在哪见过你？,7,0,,,,,,
#,7,0,【派派】,左,哼，算你还有点眼力！本小姐就是Python的化身，派派大人是也！,8,0,L_Attack,跳动,,,,
#,8,,【我】,中,不是，Python……变成人了？你整人也要有个度吧……,9,0,,,,,,
#,9,0,【派派】,左,整人？我感觉你更会整人。自己连一行代码都写不出来，把作业全丢给AI，AI跑出来又不看，最后跑代码跑得整个编译器都卡死。我说的对吧，代码搬运工？,10,0,L_Attack,抖动,,,,
#,10,,【我】,中,不不不不别继续说了……你怎么知道——,11,0,,,,,,
#,11,3,【？？？】,右,因为我们都看到了。,12,0,,入场,,,黑闪,
#,12,0,【派派】,左,哇啊！你别老是这样突然出现啊！,13,0,,跳动,,,,
#,13,3,【？？？】,右,从你第一次把需求文档拖进对话框开始……指针就在偏移了……内存地址在哭泣……,14,0,,抖动,,,,
#,14,,【我】,中,她……她在说什么？,15,0,,,,,,
#,15,0,【派派】,左,别理她，她就这德行。这位是迈可斯->“希”，C类语言的化身。她思维很活跃，总是逻辑严谨地从一个莫名其妙的开始……跳到另一个莫名其妙的结论。,16,0,,,,,,
#,16,,【我】,中,不是，谁家名字还自带指针的啊喂！,17,0,,,,,白闪,
#,17,3,【希】,右,叫我希就好了，名字……只是符号……真正的变量不需要别名……除非你想解引用一个空指针然后迎接段错误……,18,0,,,,,,
#,18,0,【派派】,左,你看。,19,0,,,,,,
#,19,1,【？？？】,右,好了好了，别吓着他了。,20,0,,入场,,,,
#,20,1,【嘉斯林】,右,你好啊，我是嘉斯林，Java的化身。虽然我知道你可能对我的印象是“啰嗦的配置文件”或者“内存占用大户”……,21,0,,,,,,
#,21,0,【派派】,左,还有“每次启动慢得像在编译整个宇宙”！,22,0,,,,,,
#,22,1,【嘉斯林】,右,我那是稳健，稳健！一次编写，处处运行。,23,0,,,,,,
#,23,,【我】,中,所以……你们都是编程语言……？,24,0,,,,,,
#,24,0,【派派】,左,不然呢？你以为那些代码是自己跑起来的？每天被你们这些人类乱写一气，变出一堆bug，最后还得我们来收拾烂摊子！,25,0,H_Attack,撞击,,,,
#,25,3,【希】,右,野指针……内存泄漏……未初始化的变量……人类的罪孽深重如malloc后忘记free……,26,0,,抖动,,,黑闪,
#,26,,【我】,中,我……我不知道……我以为能跑就行……,27,0,,,,,,
#,27,0,【派派】,左,能跑就行？！上次你把缩进搞成一团乱麻，本小姐差点当场去世！,28,0,H_Attack,重攻击,,,震动,
#,28,,【我】,中,对、对不起……,29,0,,,,,,
#,29,1,【嘉斯林】,右,道歉解决不了问题哦。你知道这里是哪儿吗？,30,0,,,,,,
