标记,id,角色ID,角色,位置,台词,下一句,背景,音效,自身动作,目标位置,目标动作,屏幕效果,bgmName
#,0,2,【ADN-1】,右,【庆祝的滴滴声】,1,5,Victory,跳动,,,白闪,BGM
#,1,,【我】,中,……过来了？我真的过来了？,2,5,,,,,,
#,2,0,【派派】,左,哼，第一次自己动脑子过关的滋味怎么样？别太得意，这才第一关！,3,5,H_Attack,撞击,,,,
#,3,3,【希】,右,你刚才移动加速框的时候犹豫了……但最终位置是对的……编译通过……没有警告……,4,5,,入场,,,,
#,4,0,【派派】,左,喂希，别在那念经了！我等着看他接下来能不能不用我帮忙，结果你猜怎么着——,5,5,,抖动,,,,
#,5,1,【嘉斯林】,右,派派，别假装不想帮忙。,6,5,,入场,,,,
#,6,0,【派派】,左,谁、谁要帮忙了！我是怕这小鬼把我的框放歪，到时候显形出什么奇怪的东西来！,7,5,,跳动,,,,
#,7,1,【嘉斯林】,右,放心，我会用反重力在后面兜底的。是吧？,8,5,,,,,,
#,8,,【我】,中,那个……谢谢你们。,9,5,,,,,,
#,9,0,【派派】,左,……突然这么正经干嘛，恶心死了。,end,5,,抖动,,,,
