"标记","id","角色ID","角色","位置","台词","下一句","背景","音效","自身动作","目标位置","目标动作","屏幕效果","bgmName"
"#","0","2","【ADN-1】","右","【雀跃的滴滴声】","1","0","Victory","跳动","","","白闪","Thinking"
"#","1","","【我】","中","第二关也过了！我感觉自己好像找到点节奏了。","2","0","","","","","",""
"#","2","0","【派派】","左","什么节奏，你刚才挪最后一个框的时候手抖得跟帕金森似的，本小姐都怕你滑出去！","3","0","","抖动","","","",""
"#","3","","【我】","中","那不是紧张嘛……但我真的在想怎么布局，不是乱试的。","4","0","","","","","",""
"#","4","1","【嘉斯林】","右","嗯，我看到了。你放框之前先观察了整体地形，这说明你开始思考“结构”了。写代码就是这样——先有结构，再填细节。","5","0","","入场","","","",""
"#","5","3","【希】","右","第二关通过……错误碎片减少……世界正在愈合……","6","0","","入场","","","",""
"#","6","0","【派派】","左","话说你放的框，放得还行。本小姐姑且认可你有那么一丁点灵性。","7","0","","跳动","","","",""
"#","7","","【我】","中","“一丁点”。","8","0","","","","","",""
"#","8","0","【派派】","左","嫌少？那“半丁点”。","9","0","","跳动","","","",""
"#","9","1","【嘉斯林】","右","好了，第二关通过意味着你的代码已经能让别人读得懂了。两关下来，你该明白了吧？","10","0","","","","","",""
"#","10","","【我】","中","明白什么？","11","0","","","","","",""
"#","11","1","【嘉斯林】","右","代码不是只跑给机器看的。也是跑给人看的。","12","0","","","","","",""
"#","12","","【我】","中","……包括给我自己看的。","13","0","","","","","",""
"#","13","0","【派派】","左","哟，居然说出了一句像样的话。","14","0","","","","","",""
"#","14","3","【希】","右","对自己的代码负责……是避免内存泄漏的第一步……也是最后一步……大概……","15","0","","","","","",""
"#","15","","【我】","中","希，你那个“大概”能去掉吗？","16","0","","","","","",""
"#","16","3","【希】","右","不能……确定性太高……不符合C++的风格……","17","0","","抖动","","","",""
"#","17","1","【嘉斯林】","右","走吧，还有三个数据包需要回收。接下来，该我出力了。","18","0","","","","","",""
"#","18","0","【派派】","左","嘉斯林姐的反重力框！终于要出场了！我等不及看他被重力翻转搞得晕头转向的样子了——","19","0","","跳动","","","",""
"#","19","1","【嘉斯林】","右","派派，你刚才不是说反重力框给你打下手吗？","20","0","","","","","",""
"#","20","0","【派派】","左","……我什么都没说。","21","0","","抖动","","","",""
"#","21","","【我】","中","（笑）你们的关系还真好。","22","0","","","","","",""
"#","22","","【三人齐声】","中","谁跟她/他关系好了！","23","0","","","","","",""
"#","23","","【旁白】","中","小剧场：","24","0","","","右","退场","",""
"#","24","0","【派派（Q版）】","左","看到没看到没，本小姐的显形框铺的路！——你刚才是不是想说“一般般”？你敢说试试？","25","0","","跳动","","","",""
"#","25","3","【希（Q版）】","右","加速度和显形平台搭配……就像虚函数和派生类……组合起来才能发挥作用……虽然有时候会多重继承搞混……","26","0","","入场","","","",""
"#","26","1","【嘉斯林（Q版）】","右","别在悬崖边上斗嘴。掉下去的话，我可不负责回收你们的引用。","end","0","","入场","","","",""
